@attribute contition_t_good real
@attribute contition_t_livable real
@attribute contition_t_dilapidated real
@attribute contition_r_total real
@attribute residence_good real
@attribute residence_livable real
@attribute residence_dilapidated real
@attribute residence_cum_other real
@attribute residence_cum_good real


@data

1,?,?,?,?,?,?,5.5,4.5,2.5,?,0.2,6.9,?,?,1.4,?,?,1.3,?,0.4,?,0.2,3.9,?,0.8,?,0.1,?,3.9,0.1,15.9,?,3.0,?,?,?,?,1.0,?,30.7,23.2,?,?,6.4,2.8,?,?,?,22.8,27.3,6.8,86.5,?,2.7,10.2,?,19.4,?,?,?,56.5,?,?,?,?,?,?,?,0.1,?,?,?,?,?,?,?,?,0.2,?,66.5,?,?,?,?,?,?,0.0,?,33.5,?,?,?,14.7,14.0,?,?,?,31.5,?,11.6,0.3,1.8,51.0,?,1.5,0.0,?,?,?,12.0,?,2.3,3.5,0.3,78.4,?,84.3,5.0,8.2,?,64.4,14.7,71.9,54.4,?,10.3,?,90.2,6.1,?,2.0,1.0,?,100.0,60.8,?,5.8,?,?,31.7,?,4.5,2.5
2,67.3,?,?,?,?,26.6,?,?,?,?,0.1,?,0.7,2.2,?,?,0.5,?,80.3,0.6,?,0.4,?,?,0.3,?,?,90.4,?,?,6.0,?,?,13.6,?,8.5,?,0.9,?,32.5,24.9,?,?,?,?,6.5,12.7,28.6,21.9,21.4,?,?,32.4,5.8,?,?,?,?,?,?,?,3.7,?,?,10.1,?,?,0.2,?,0.9,?,5.3,?,97.4,1.6,?,0.1,?,?,91.7,56.6,?,0.8,1.8,0.1,?,0.0,0.1,?,1.4,6.9,89.7,4.4,?,49.3,?,6.0,9.1,0.9,?,0.5,?,81.6,?,1.3,0.0,?,97.6,?,8.9,2.1,0.5,?,?,82.9,?,89.9,11.0,?,6.0,?,?,?,?,21.7,?,?,?,?,2.7,1.1,?,?,100.0,?,27.6,?,97.3,?,?,?,2.7,?
?,49.6,43.2,7.3,?,?,?,7.0,?,?,2.6,?,21.5,?,?,?,?,0.7,3.3,54.1,?,?,?,6.3,?,0.9,0.8,?,82.3,?,0.1,25.8,?,4.5,?,?,?,?,1.0,?,27.9,21.7,?,?,?,2.6,?,?,?,?,29.8,?,?,?,2.6,?,?,?,?,?,0.3,57.9,?,?,?,?,?,?,0.0,?,?,?,13.9,?,96.0,?,0.1,?,?,0.7,?,7.4,34.4,?,?,?,?,?,?,39.3,2.2,?,71.5,?,?,11.7,?,8.2,15.4,?,35.1,0.4,?,41.7,0.0,1.0,?,?,?,74.7,17.3,7.5,2.6,?,0.4,?,?,82.2,2.2,?,6.0,68.3,7.0,71.4,51.4,11.4,5.4,?,?,20.7,4.5,3.2,1.4,0.5,?,49.6,?,7.3,93.5,?,40.6,7.0,?,?
1,?,?,?,?,60.8,?,5.1,?,2.1,?,0.2,?,0.4,3.9,1.6,5.4,?,?,72.7,0.4,0.9,?,?,?,?,?,?,?,?,?,?,?,3.3,?,52.3,6.9,0.3,1.1,20.9,25.9,?,?,?,?,3.1,7.5,?,?,20.8,23.7,6.0,?,19.1,?,?,66.9,?,?,0.7,0.1,73.0,6.8,?,0.4,11.6,6.9,0.0,?,?,1.1,86.8,?,?,97.2,2.0,0.1,0.1,0.2,?,79.1,37.8,27.5,?,?,?,0.3,?,?,?,?,19.4,?,?,8.2,40.1,?,?,10.3,?,?,?,?,66.8,?,?,0.1,?,?,?,?,?,1.5,2.6,0.4,?,?,?,13.2,?,?,?,14.2,60.3,?,24.9,22.3,?,?,11.3,?,?,0.9,0.5,?,?,31.9,?,?,60.8,30.4,5.1,3.8,2.1
?,?,?,3.8,98.2,?,?,?,1.8,1.0,?,0.1,?,?,?,?,2.8,?,?,?,0.4,0.4,?,2.4,0.0,0.5,?,0.1,88.2,?,?,?,?,2.4,?,?,10.3,?,1.1,?,?,?,?,?,?,3.5,9.0,15.6,?,?,?,4.3,?,?,3.5,10.6,?,15.3,3.3,0.4,0.1,?,?,0.1,0.0,?,?,?,0.0,0.0,?,?,?,?,98.1,?,?,0.1,?,?,92.4,?,?,1.8,?,0.2,0.3,0.0,?,?,?,6.6,?,?,4.4,60.5,32.7,?,6.6,?,?,0.1,?,84.9,?,?,0.1,?,97.9,?,10.7,?,0.7,?,?,83.4,26.7,89.9,21.1,17.5,?,?,19.3,?,?,34.7,34.5,1.7,?,4.5,?,?,?,0.5,?,?,23.7,?,?,71.5,?,3.7,?,?
?,48.2,?,6.1,?,42.2,39.9,?,?,?,5.8,0.5,6.7,?,20.2,1.5,?,0.7,1.2,24.5,?,?,?,3.0,?,0.9,?,?,?,3.8,0.1,33.4,?,?,15.0,25.3,1.7,?,0.7,19.8,?,23.5,13.0,5.1,?,?,5.3,?,22.2,22.5,29.8,7.7,97.3,1.7,1.0,?,61.5,23.0,?,0.9,0.2,19.7,?,0.2,0.1,13.3,?,?,?,0.2,?,76.9,?,?,?,2.1,?,?,?,0.7,78.6,?,?,6.3,39.1,5.3,?,?,0.1,?,3.5,?,?,?,11.6,7.3,78.4,14.3,?,6.3,48.9,?,?,29.6,0.0,?,0.1,?,92.6,61.3,?,?,?,?,?,?,9.5,75.5,2.0,4.5,10.7,49.9,18.5,80.4,45.8,?,?,?,?,?,?,?,?,?,?,48.2,45.7,?,?,?,?,5.6,12.3,6.0
?,52.2,?,?,?,?,37.8,?,?,?,4.4,0.4,6.3,0.2,15.6,?,?,0.8,?,36.8,0.6,?,?,?,?,0.8,?,0.0,?,4.1,0.1,?,0.1,20.8,?,29.2,2.4,?,?,?,33.0,?,13.2,?,3.9,2.2,?,?,?,?,29.0,?,?,4.8,?,8.7,63.2,21.7,?,?,0.2,?,?,0.1,?,?,38.5,?,?,0.1,?,?,?,5.3,97.3,1.6,?,?,0.3,0.6,82.8,17.6,?,5.1,?,?,0.3,?,?,?,?,14.5,?,11.2,9.9,?,?,12.9,9.1,4.7,?,?,?,?,0.0,?,?,?,?,67.0,27.1,?,?,3.3,?,61.8,9.1,78.0,3.4,?,9.5,53.1,?,?,?,?,?,?,?,?,?,1.0,0.3,0.7,?,52.2,?,5.7,?,?,?,5.3,?,4.8
2,61.0,34.4,?,96.2,58.7,?,4.6,?,?,1.3,?,?,?,5.5,1.0,21.9,?,1.0,?,?,?,?,?,?,?,?,0.0,?,4.8,0.1,?,0.1,13.0,33.3,37.8,3.8,?,0.9,22.2,?,?,13.8,5.1,?,?,5.7,?,24.5,22.3,27.1,6.9,?,11.5,2.3,9.0,?,?,?,?,?,66.4,?,0.1,?,?,15.5,?,?,0.0,?,?,7.1,1.7,98.7,?,0.0,?,?,?,92.0,47.0,?,2.5,?,1.7,?,?,0.0,8.0,1.1,?,87.4,?,?,?,?,9.8,?,?,14.3,?,?,?,?,?,0.1,?,97.2,79.2,17.9,?,1.1,1.4,?,?,?,83.3,?,10.7,?,?,?,?,?,13.4,13.7,3.7,92.4,5.6,1.7,1.1,0.6,0.3,?,?,34.4,4.7,96.2,?,?,?,?,2.3
?,?,49.7,?,?,38.5,?,6.0,11.6,5.3,?,0.5,4.6,?,21.6,0.9,51.6,?,1.5,18.4,0.5,?,?,?,?,0.8,?,0.0,?,?,?,36.6,?,32.0,15.0,?,?,0.1,0.8,18.4,?,23.9,?,?,4.6,2.1,5.4,10.5,21.7,?,29.7,8.4,?,1.2,1.3,?,?,?,?,1.0,?,?,?,?,0.0,?,?,0.0,?,?,2.5,79.5,16.1,?,96.6,?,0.1,0.2,?,0.7,80.2,?,?,3.5,34.7,?,?,0.2,0.1,?,?,17.2,71.7,18.1,?,?,71.4,?,12.5,?,?,0.1,0.5,?,0.0,5.7,0.1,?,?,63.4,?,?,?,?,0.3,61.7,11.9,?,?,?,?,?,18.1,?,43.1,10.1,?,5.8,?,5.8,1.1,1.0,?,0.7,100.0,43.9,49.7,6.5,88.4,?,?,6.0,?,?
1,46.9,?,?,?,?,?,5.9,9.4,?,?,0.4,4.3,0.2,17.1,?,?,0.8,1.4,29.3,0.6,?,0.1,3.0,?,?,0.7,?,92.2,?,0.2,31.2,0.1,?,?,?,2.1,0.1,?,20.4,?,?,?,5.4,4.4,?,?,10.9,22.8,?,28.2,7.6,?,?,?,?,62.9,21.6,?,?,?,47.8,9.4,0.1,0.0,?,35.2,0.0,?,?,2.0,?,?,3.3,?,?,0.1,?,0.3,?,?,?,?,2.9,?,?,?,?,0.0,16.5,?,?,?,?,8.8,12.2,67.5,20.3,?,11.0,?,?,?,44.8,0.0,4.1,?,0.3,94.4,66.5,27.9,?,1.8,?,?,62.3,11.7,77.0,3.1,?,7.2,54.2,18.1,74.5,?,11.5,7.3,?,?,?,1.2,?,?,0.7,?,?,?,?,90.6,?,?,5.9,9.4,4.4
2,?,?,5.9,?,50.5,?,5.8,4.9,2.6,?,?,3.8,?,?,?,33.4,0.8,?,?,0.6,?,0.1,2.9,?,1.0,?,?,90.8,?,0.1,?,?,17.0,?,?,?,?,1.2,?,?,21.3,?,?,?,?,6.7,?,25.1,?,?,?,?,14.1,?,10.4,?,18.4,4.4,?,0.1,83.2,?,0.0,?,?,5.8,0.0,?,0.0,0.9,?,5.8,?,97.8,?,0.1,0.1,?,?,90.2,?,27.5,1.7,?,?,?,0.0,?,9.8,1.3,8.5,?,13.0,6.0,?,59.8,?,7.8,4.7,11.5,0.2,?,72.3,?,?,?,?,97.0,72.9,?,2.7,?,1.9,?,63.7,?,?,6.2,?,?,59.1,?,67.4,?,14.3,14.1,4.9,?,?,1.5,?,?,0.7,100.0,?,?,5.9,95.1,?,38.8,5.8,?,?
0,50.4,46.9,?,97.6,?,?,?,2.4,?,?,?,3.4,?,0.5,?,0.6,1.1,?,86.6,?,1.3,0.2,?,?,?,?,0.5,83.9,11.5,0.1,5.7,0.2,1.9,9.3,?,?,0.3,1.1,66.9,15.4,7.2,4.4,2.2,2.8,11.0,14.2,?,?,?,16.1,3.2,?,74.0,3.0,29.6,61.1,?,?,?,0.1,?,?,0.0,?,?,?,0.0,0.0,0.3,1.0,?,13.0,1.6,97.3,2.4,0.0,0.1,?,0.1,?,?,?,?,0.1,0.0,0.0,?,0.0,?,6.3,5.7,85.1,3.1,11.8,?,?,5.7,?,0.1,1.0,0.0,18.0,67.1,0.0,0.1,?,2.5,?,?,40.1,?,0.4,?,2.5,?,?,?,3.6,7.8,1.8,?,?,60.9,34.5,7.6,?,?,95.8,2.4,?,0.1,?,?,100.0,50.4,?,?,?,49.3,?,?,?,?
1,69.3,27.2,?,98.3,68.4,26.5,?,?,?,0.7,0.1,?,0.8,0.4,?,1.9,?,?,?,0.2,0.2,?,?,?,?,0.8,0.8,89.4,4.7,?,?,0.1,?,?,71.5,11.4,0.9,1.4,?,25.4,18.7,?,?,3.5,?,?,?,27.2,?,18.3,?,47.7,?,5.4,18.2,?,?,?,?,0.1,?,?,0.1,0.0,?,?,0.0,0.0,?,0.5,?,?,?,98.4,1.2,?,0.1,?,0.2,87.6,?,1.0,?,?,0.1,0.1,?,0.0,12.4,?,?,86.6,3.1,?,87.2,?,4.0,?,0.3,0.2,?,21.9,?,0.0,?,0.1,?,?,73.2,?,2.7,?,?,1.1,?,?,?,?,14.4,6.0,?,20.1,?,46.7,25.7,?,?,94.2,?,?,0.9,?,0.4,?,?,27.2,?,?,68.4,?,3.4,?,0.9
2,?,?,3.5,?,68.9,25.9,?,1.7,0.9,0.7,?,2.4,?,?,?,2.0,0.8,?,?,0.2,0.2,0.4,?,0.1,0.5,?,0.8,89.5,?,?,?,?,?,?,71.3,?,?,?,38.5,25.7,19.0,?,?,3.5,6.3,?,15.3,?,18.9,?,3.4,48.4,?,5.4,?,?,10.3,?,?,0.1,93.8,?,?,?,?,0.8,?,0.0,?,0.5,86.2,11.6,?,98.4,?,?,?,?,0.2,?,?,0.9,0.2,?,?,?,0.0,?,?,?,3.2,86.7,3.1,?,87.3,8.7,?,?,0.3,?,?,22.0,71.8,0.0,0.1,0.1,1.0,96.4,?,?,?,?,2.1,1.0,80.5,?,82.8,19.3,?,?,62.6,?,?,47.0,26.3,29.3,?,94.1,4.1,1.4,0.9,?,0.4,100.0,69.9,?,3.5,98.3,68.9,?,3.4,1.7,0.9
0,?,27.0,?,97.7,?,?,?,?,?,?,?,1.7,2.1,?,0.1,1.1,39.8,12.8,41.7,0.2,?,0.2,?,?,28.5,?,?,?,1.6,0.2,?,21.8,0.2,?,?,1.1,0.1,0.7,24.4,38.2,?,?,3.2,?,6.8,8.9,?,?,20.1,30.6,?,?,9.8,?,?,66.4,15.2,2.9,0.5,0.1,59.7,19.3,?,?,2.0,0.0,?,?,?,?,38.8,?,?,77.4,?,?,?,?,0.3,39.5,?,31.4,0.8,5.2,0.2,?,0.1,?,60.5,?,?,?,10.4,?,?,?,?,70.3,0.8,0.1,0.0,1.4,?,?,0.0,0.0,0.2,?,?,20.7,10.3,?,?,?,?,?,40.9,?,4.4,?,58.6,2.3,?,?,?,0.8,28.9,86.9,10.7,2.0,1.6,?,?,100.0,?,?,3.0,97.7,?,26.4,3.0,?,?
?,?,26.1,?,?,?,25.4,?,?,1.7,0.7,0.1,1.7,1.9,0.5,?,?,?,12.7,44.6,0.2,0.4,0.2,?,7.8,?,34.5,1.0,?,1.5,0.2,?,20.2,?,3.5,?,1.8,?,?,24.4,?,14.3,?,?,?,?,?,9.7,18.2,20.1,?,?,82.8,12.7,4.5,?,?,?,2.8,?,0.1,?,18.0,?,1.1,?,0.0,?,?,0.8,?,42.9,28.7,28.4,79.1,?,2.5,0.2,0.2,?,43.7,3.8,?,?,5.1,0.2,?,?,0.1,?,1.0,55.2,44.5,9.7,?,14.3,27.6,?,?,0.7,?,?,1.8,32.1,?,?,0.0,?,90.2,?,19.4,?,8.0,?,0.2,89.2,12.6,44.2,?,?,1.3,60.6,2.7,?,?,?,1.4,26.9,?,?,1.9,?,?,0.3,?,71.0,26.1,2.9,?,69.3,?,2.8,?,1.7
2,?,15.9,?,95.8,?,?,?,?,3.4,?,?,?,0.3,0.2,0.1,?,?,11.7,77.1,?,?,0.2,?,1.6,4.4,5.7,?,81.8,?,?,?,2.2,?,?,?,?,1.0,2.8,?,?,14.5,?,2.8,3.8,9.4,?,?,24.6,?,19.9,?,45.7,?,?,?,67.3,?,1.4,0.2,?,?,2.9,?,0.2,0.8,0.0,0.1,0.3,0.4,0.6,?,6.9,3.9,?,1.7,0.1,0.1,0.0,?,91.5,28.4,?,0.5,?,0.1,0.0,0.3,?,8.5,?,?,90.0,2.1,?,?,46.6,6.2,3.9,0.3,0.1,?,?,?,?,?,?,1.1,97.7,?,?,1.2,1.0,0.2,?,91.3,?,81.6,?,14.9,1.8,?,?,8.1,?,?,?,4.2,94.9,?,0.5,0.4,0.1,?,100.0,83.3,15.9,?,?,?,15.2,?,4.2,?
0,?,?,2.5,?,?,25.0,?,3.4,?,?,?,?,?,?,?,0.9,52.1,3.7,?,0.1,0.1,?,?,0.5,?,51.0,?,?,1.2,?,?,0.2,0.2,2.7,?,0.4,0.0,?,?,32.9,13.6,?,?,11.0,?,9.8,11.7,19.4,?,?,?,?,?,?,?,?,13.0,?,?,0.0,59.2,25.2,?,0.7,1.2,?,2.6,?,?,8.4,29.6,42.5,?,?,?,?,?,?,0.4,47.0,2.6,20.0,1.2,22.3,?,0.1,?,?,?,?,51.6,?,?,?,?,27.9,?,74.3,1.1,0.0,0.0,?,?,0.0,0.0,?,0.2,?,59.3,34.1,6.5,4.7,1.8,?,?,?,?,?,?,1.7,?,3.6,?,?,2.1,0.4,?,?,?,0.4,?,0.1,0.2,100.0,71.2,?,?,96.6,69.4,?,?,3.4,1.8
1,73.6,?,2.3,?,?,?,?,3.1,1.7,?,?,?,0.8,?,0.3,?,44.8,?,45.3,?,0.1,?,1.6,0.5,31.2,?,0.8,?,?,0.2,54.0,?,0.3,2.6,42.0,?,?,?,?,?,?,?,?,10.0,?,10.0,?,20.3,19.9,?,?,84.7,?,?,22.8,63.3,?,1.6,0.2,?,63.4,22.4,?,0.6,?,0.0,?,?,?,7.7,37.1,38.0,?,83.4,?,?,0.2,0.2,?,53.1,?,?,?,21.8,?,0.1,?,?,46.9,?,?,50.5,3.8,45.7,?,32.2,60.5,64.5,1.0,?,?,?,32.5,?,0.0,?,0.4,93.9,63.3,30.5,5.8,?,1.6,0.4,87.3,?,?,1.0,?,?,?,4.9,?,?,?,1.1,21.4,94.8,4.5,?,0.3,?,?,?,?,24.1,2.3,96.9,72.0,22.9,?,?,?
2,?,?,0.9,98.6,86.4,?,?,1.4,1.1,0.2,?,?,?,0.1,?,0.3,?,?,?,0.1,?,?,1.1,0.2,?,?,?,?,0.7,0.6,8.4,?,0.5,1.9,?,3.9,?,?,?,41.1,13.5,10.6,3.2,4.4,11.7,?,16.5,?,18.1,?,2.0,45.1,49.1,?,30.2,61.9,?,1.1,0.1,?,86.9,6.9,0.0,?,0.8,?,0.6,?,0.0,?,?,12.6,?,97.8,?,?,0.2,?,0.0,87.5,?,?,?,18.8,0.1,0.4,0.0,?,?,?,?,86.1,?,?,?,56.3,?,9.8,0.3,?,?,?,83.6,0.0,0.0,?,?,?,85.9,11.0,1.9,1.2,0.7,?,?,12.6,81.3,?,10.8,2.1,?,12.4,3.7,?,?,?,?,96.8,2.0,0.5,?,?,?,?,?,11.6,?,?,86.4,?,0.9,?,1.1
?,?,?,1.9,?,77.0,19.2,1.8,?,1.3,?,?,?,?,?,?,?,?,?,?,0.1,?,0.0,?,?,?,46.9,0.1,12.3,?,?,?,0.1,?,?,42.1,?,?,0.7,9.8,?,?,24.5,5.3,?,?,9.4,?,?,20.1,?,?,94.3,?,?,?,62.4,?,2.7,?,0.1,63.2,24.4,?,?,?,0.0,1.3,0.9,1.0,5.1,27.6,?,30.1,?,7.4,0.5,?,0.0,0.3,?,3.9,?,1.9,25.4,?,?,?,0.4,?,?,?,?,5.0,?,8.1,31.4,?,?,1.4,?,?,0.7,?,0.0,?,0.0,0.1,?,?,26.6,6.9,?,?,?,?,17.5,54.5,?,4.9,?,?,?,?,2.5,?,?,18.5,?,2.1,?,0.0,0.0,0.2,100.0,78.3,?,?,98.0,77.0,?,1.8,2.0,?
1,?,?,1.8,97.7,77.2,?,1.7,2.3,?,?,?,0.5,0.1,?,?,?,36.4,4.5,?,0.1,0.0,?,?,0.2,?,45.6,0.1,?,1.1,0.1,49.3,?,0.2,?,?,1.4,0.0,?,?,33.3,15.0,23.8,?,?,?,?,?,20.1,?,?,4.1,92.3,6.3,?,20.0,62.0,?,?,0.4,?,?,?,0.8,?,2.2,0.0,1.2,0.8,?,4.9,30.2,?,?,91.9,?,0.5,?,?,0.3,?,?,21.2,?,25.0,?,0.1,0.0,?,47.1,?,46.4,51.1,4.9,?,9.8,31.8,58.4,59.9,1.4,?,?,1.3,?,0.0,?,0.0,0.2,93.1,?,25.9,?,?,?,?,?,17.0,?,?,5.0,?,?,?,?,?,2.1,?,17.9,?,?,?,0.0,?,0.2,?,?,?,?,?,?,18.7,1.7,?,1.6
2,90.0,9.7,?,91.5,?,?,?,?,?,?,?,0.2,?,?,0.1,?,?,12.7,81.2,?,?,?,1.3,?,3.9,?,0.5,?,?,0.1,?,0.0,?,?,88.2,6.1,?,2.8,?,?,13.9,9.2,?,3.1,19.0,?,13.5,22.4,16.5,?,2.5,48.8,?,?,?,?,5.9,?,0.3,?,?,13.1,?,?,0.7,0.0,?,?,0.0,?,?,8.6,6.8,?,?,0.0,0.0,?,?,?,?,?,?,?,0.0,?,0.0,?,8.4,2.7,?,?,?,?,46.4,40.2,?,6.8,?,0.0,0.0,13.3,?,?,?,0.1,?,95.1,?,11.2,?,1.4,2.2,1.3,?,7.5,73.8,2.6,?,2.3,?,?,?,?,?,3.9,?,97.9,1.7,?,?,?,0.2,100.0,?,9.7,?,?,?,9.2,0.3,8.5,8.1
0,?,27.6,?,?,?,?,?,?,?,2.0,?,?,?,0.5,0.1,0.8,?,4.0,52.8,?,0.1,?,3.2,0.5,?,50.8,0.2,12.9,1.5,0.0,?,1.0,?,?,43.0,?,0.1,?,?,36.9,16.1,16.7,?,7.0,8.5,?,?,?,?,?,?,92.8,5.5,?,?,61.5,15.4,?,?,0.1,?,20.4,?,?,4.4,?,?,2.3,?,?,23.5,?,?,?,?,?,0.2,?,?,50.1,2.1,?,0.9,?,0.2,?,0.0,?,?,0.7,49.2,48.2,?,46.3,?,23.5,67.2,?,?,?,?,?,?,?,0.0,?,?,92.9,63.4,?,6.9,?,?,0.2,?,?,46.7,0.6,?,1.6,65.8,3.2,1.3,?,?,0.9,?,95.2,4.3,0.4,0.3,?,?,?,?,?,?,?,66.0,?,?,?,?
1,72.0,25.5,?,?,68.6,?,2.4,5.3,?,1.8,?,0.9,0.2,?,0.1,1.4,35.7,4.7,?,0.0,0.1,?,?,?,26.9,?,0.5,?,?,0.1,?,?,?,?,47.9,1.6,?,?,?,?,16.3,?,3.4,?,?,?,?,?,?,?,?,85.6,?,4.2,?,62.1,14.3,3.0,0.5,?,?,?,1.1,?,5.6,0.0,?,?,?,?,32.2,?,30.0,87.8,9.4,?,0.2,?,?,?,?,?,0.8,11.8,?,0.0,?,0.0,?,?,?,?,?,41.2,17.6,?,?,?,0.8,?,?,1.5,38.2,?,0.0,0.0,?,93.6,?,26.9,6.2,3.5,?,?,90.4,13.3,?,?,4.8,?,67.9,?,2.9,?,3.2,?,?,95.5,4.0,?,?,0.1,?,?,?,25.5,?,?,68.6,23.7,2.4,?,?
?,88.7,?,?,98.0,?,10.1,0.6,2.0,1.5,0.5,0.0,0.4,?,0.1,?,?,1.6,9.7,82.6,?,0.0,?,?,0.2,?,?,?,87.9,4.1,0.1,?,0.0,0.2,8.3,82.9,?,?,0.6,32.3,?,18.2,?,2.0,1.6,?,?,14.8,26.1,?,16.6,?,34.7,?,21.3,25.6,?,7.1,1.3,0.2,0.0,81.1,?,0.1,?,14.4,0.2,?,0.0,0.0,?,?,?,1.4,?,?,?,0.1,?,0.0,?,53.7,37.1,0.5,?,0.0,0.0,?,0.0,?,1.3,2.8,?,?,?,76.2,20.8,?,?,?,?,0.0,7.1,87.6,?,0.0,0.0,?,98.0,?,?,?,?,?,?,?,?,?,?,15.1,?,82.7,?,14.6,30.1,?,11.3,2.6,98.0,?,?,0.1,0.1,?,?,88.7,10.6,0.7,98.0,87.2,10.1,?,2.0,?
?,69.4,26.7,3.9,?,66.9,?,?,?,2.5,1.2,?,4.0,?,?,0.2,18.6,?,12.0,56.8,?,?,0.3,?,?,?,?,?,72.9,?,?,20.1,?,?,?,?,6.7,0.4,0.8,?,30.1,?,12.8,4.6,4.2,3.4,?,11.3,21.7,?,?,8.9,?,10.1,?,?,68.9,15.5,3.7,?,?,?,12.8,?,0.2,15.9,1.8,0.4,?,?,?,?,?,12.1,?,4.7,0.2,?,0.3,0.2,?,?,?,?,?,0.2,?,?,?,?,?,?,?,5.5,22.1,25.0,34.1,?,?,?,?,0.1,?,52.8,?,0.4,0.0,0.3,85.6,73.4,?,14.1,?,?,0.3,?,11.4,70.5,3.2,?,3.9,?,7.3,?,36.0,?,7.9,?,85.1,?,4.0,?,1.2,0.4,100.0,69.4,?,3.9,?,66.9,?,3.8,3.7,?
1,73.9,?,?,?,71.1,22.0,?,?,2.8,?,0.1,?,1.4,0.4,0.2,18.0,3.7,?,62.5,0.2,0.7,?,6.1,1.0,2.0,?,0.2,81.6,?,0.2,?,?,?,?,?,12.3,0.6,?,?,?,?,13.8,5.2,?,3.9,?,?,24.2,?,?,6.6,75.9,18.4,5.7,11.9,?,?,3.4,?,0.2,?,7.5,?,?,11.1,?,0.2,0.4,0.3,0.9,?,12.1,?,?,3.1,?,?,?,0.2,?,23.3,?,1.1,8.9,?,0.6,?,?,13.6,1.4,?,?,?,12.0,41.4,?,22.9,22.0,0.5,0.2,?,4.1,?,0.0,?,?,0.3,?,?,?,7.1,?,3.1,?,?,12.2,?,8.0,14.0,5.0,?,?,40.2,47.1,14.9,17.0,5.1,90.4,?,2.5,?,0.8,0.4,100.0,?,23.1,3.0,?,71.1,22.0,3.0,3.9,?
?,?,20.4,2.4,?,74.2,19.3,?,?,?,1.1,?,1.1,?,?,?,?,1.5,10.7,66.8,0.2,0.3,?,3.1,?,1.3,2.7,?,88.0,3.5,0.2,4.7,?,?,16.1,60.5,16.4,0.8,?,?,?,?,14.6,5.7,4.8,?,?,14.0,?,?,21.9,5.0,68.6,?,6.8,12.7,?,13.3,?,?,?,85.8,3.6,?,?,?,?,?,?,0.1,0.4,?,?,3.0,97.6,2.0,?,?,?,?,95.2,36.5,?,1.2,5.3,?,?,?,0.1,?,2.0,?,92.4,3.0,?,?,36.8,9.6,?,?,0.2,0.0,?,?,0.0,?,0.1,?,?,?,?,?,0.9,?,?,?,12.8,88.2,11.6,17.6,5.8,67.1,18.7,?,?,20.2,?,2.5,?,3.9,1.4,?,?,0.4,100.0,?,?,?,95.9,?,19.3,2.3,?,3.0
?,73.1,25.1,?,?,?,?,1.7,?,?,0.9,?,?,?,?,?,?,49.1,3.1,33.5,0.1,?,0.1,2.2,0.3,?,44.9,0.1,?,0.6,0.1,?,?,?,3.2,?,?,?,0.9,?,?,16.4,?,3.9,6.9,11.8,?,13.3,?,?,23.0,?,?,7.5,?,?,?,10.6,1.6,?,?,?,27.3,?,0.3,3.2,1.4,?,?,1.2,?,27.0,51.1,21.9,?,?,?,?,?,0.3,48.3,2.0,28.3,1.3,16.1,?,0.1,?,?,?,0.8,51.0,53.4,5.7,?,?,?,?,62.1,0.8,?,?,?,?,?,0.2,?,?,93.8,69.8,24.0,?,3.4,2.6,?,86.1,?,57.5,?,?,2.2,?,4.1,?,6.2,?,?,?,?,2.9,0.7,0.2,0.5,?,100.0,73.1,25.1,?,?,?,24.1,?,?,?
?,74.8,?,?,97.1,73.0,?,?,2.9,?,?,0.1,1.1,0.4,0.8,?,15.0,42.0,?,?,0.1,?,?,?,?,24.6,?,?,?,?,0.1,?,0.1,?,3.9,42.2,?,?,0.9,17.6,34.0,?,20.5,?,?,?,?,?,?,17.9,22.3,?,84.1,?,4.1,?,?,?,?,0.2,?,?,?,0.7,0.2,?,?,1.5,0.7,?,?,?,?,19.2,?,9.1,1.4,?,0.1,?,?,6.2,?,1.2,?,?,0.1,?,0.0,44.7,1.0,?,?,?,?,12.1,?,?,53.9,?,0.1,0.0,?,43.6,?,?,0.0,0.2,94.5,72.9,?,5.3,2.9,2.3,0.2,86.6,21.4,61.6,?,?,2.6,61.8,?,8.5,9.6,?,?,17.9,?,?,?,?,?,0.3,100.0,?,23.4,1.7,97.1,73.0,?,1.6,?,?
2,?,?,?,?,?,13.6,?,3.4,?,?,?,?,0.9,0.2,0.0,33.3,2.3,?,?,0.1,?,0.2,2.7,0.4,4.1,?,?,?,?,0.2,?,0.1,1.2,7.8,?,?,?,?,26.2,34.5,20.0,?,3.5,3.3,7.2,9.7,16.6,?,18.8,18.7,?,?,?,?,23.4,65.2,?,?,0.3,0.0,?,?,?,?,?,0.6,?,0.1,?,?,?,8.4,?,98.2,?,0.2,?,0.0,0.2,?,29.4,?,?,9.6,?,0.1,?,0.0,?,2.2,?,?,?,5.9,?,53.0,?,8.1,?,?,?,?,?,0.0,?,0.0,0.4,98.1,?,?,?,?,0.9,0.4,89.5,?,84.8,?,15.1,?,70.1,?,17.6,?,?,11.3,3.9,94.8,?,1.0,0.5,0.5,?,100.0,84.5,?,1.1,?,?,13.6,?,3.4,?
