@relation esudb18_22vars

@attribute urban_degree {high_pop,low_pop,medium_pop}
@attribute house_rooms real
@attribute housing_tenure {mortgage,property,rent,rent_low_or_free_transfer}
@attribute family_members real
@attribute equivalent_income real
@attribute invoices_overdue {no,yes}
@attribute afford_holidays {no,yes}
@attribute afford_meal {no,yes}
@attribute afford_unexpected {no,yes}
@attribute have_phone {no,yes}
@attribute have_tv {no,yes}
@attribute have_computer {no,yes}
@attribute have_washer {no,yes}
@attribute have_car {no,yes}
@attribute have_shower {no,yes}
@attribute have_wc {no,yes}
@attribute problem_light {no,yes}
@attribute problem_noise {no,yes}
@attribute problem_pollution {no,yes}
@attribute problem_vandal {no,yes}
@attribute problem_leaks {no,yes}
@attribute afford_heating {no,yes}

@data
high_pop,4,property,3,23511.65,no,yes,yes,no,yes,yes,no,yes,yes,yes,yes,yes,no,no,yes,no,no
high_pop,4,property,1,10589.2,no,no,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4,property,1,0.0,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4,mortgage,3,19528.7,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,4,rent,2,7466.64,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,6,property,2,23903.17,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
high_pop,6,mortgage,2,10447.27,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no
high_pop,5,property,5,14044.57,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,yes
high_pop,5,mortgage,2,12983.67,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,yes
high_pop,5,rent,1,7735.4,no,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes
high_pop,4,property,1,1965.2,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,3,property,1,3855.0,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no
low_pop,5,property,3,8760.28,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,5,rent_low_or_free_transfer,2,8253.8,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,yes,no,yes,no
low_pop,5,property,3,16129.95,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no,no
low_pop,6,mortgage,1,29530.0,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,5,mortgage,1,6812.03,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,4,property,2,7293.53,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,yes
low_pop,5,mortgage,4,24743.62,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
low_pop,6,mortgage,4,9441.0,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes
